"IncomeGroup","ChildrenInHH","Homeownership","PrizmCode","MonthlyMinutes","MonthlyRevenue","TotalRecurringCharge","DirectorAssistedCalls","OverageMinutes","RoamingCalls","DroppedCalls","UnansweredCalls","CustomerCareCalls","MonthsInService","UniqueSubs","ActiveSubs","CurrentEquipmentDays","AgeHH1","AgeHH2","Churn"
0,"No","Unknown","Other",1039,79.33,60,0.99,94,0,15.3,100,1,12,1,1,355,42,44,0
9,"Yes","Known","Town",182,50,50,0,0,0,1,17.7,0,22,1,1,642,40,40,0
5,"No","Known","Other",652,52.91,60,2.48,0,0,10.7,32.3,0.3,21,1,1,487,46,44,0
5,"No","Known","Town",105,30.03,40,0,0,0,0,0.7,0,12,1,1,346,24,44,0
9,"No","Known","Suburban",670,57.59,50,3.46,54,0,11,74,0.3,7,1,1,2,28,30,0
6,"No","Known","Other",1690,201.99,10,0,480,0,15,85,2.3,13,2,2,372,42,44,0
0,"No","Unknown","Town",294,78.75,70,0.25,32,4.8,0,0,0,12,2,2,355,42,44,0
1,"No","Unknown","Rural",536,56.09,22,1.98,87,1.1,12,54.7,2.7,19,1,1,111,42,44,0
9,"No","Known","Suburban",295,50.35,40,0.5,57,0,2.7,18,0,18,3,2,541,26,24,0
0,"No","Unknown","Other",336,39.28,35,0,8,0,6.3,16,0,31,1,1,530,42,44,0
7,"No","Unknown","Other",464,61.59,45,0,56,0,10.7,0,0,10,1,1,274,40,44,0
6,"No","Known","Other",583,105.58,45,0,151,16.8,1.3,11,0,8,3,2,255,64,44,0
8,"No","Known","Other",64,30.27,30,0,0,0,0.7,3,1,19,1,1,308,44,76,0
1,"Yes","Known","Other",109,91.48,50,0,0,0,1,13.3,0,9,1,1,58,40,40,0
0,"No","Unknown","Other",529,37.23,45,0,6,0,6,6.7,5,19,1,1,383,42,44,0
1,"No","Known","Other",309,50.44,60,0,0,0,6,104.3,0.7,12,2,1,160,38,40,0
7,"No","Known","Suburban",1027,96.45,50,1.24,238,0,8.7,52.3,0,53,1,1,1583,62,58,0
5,"No","Known","Other",947,94.02,60,5.69,128,0,17,71.7,4,16,2,1,405,34,40,0
7,"No","Known","Town",34,30.3,40,0,0,0.3,0.3,0.3,0,13,1,1,388,48,44,0
6,"Yes","Known","Suburban",220,30.24,40,0.25,0,0,0,5.3,0,15,1,1,445,60,54,0
4,"No","Known","Suburban",823,86,95,0.25,0,0,0,0,0,8,2,2,253,30,28,0
6,"No","Known","Suburban",197,42.59,38,0,12,0,0,38,2.7,22,1,1,663,54,44,0
5,"No","Unknown","Other",546,45.94,54,0,2,0,4.7,6,4.3,32,1,1,298,40,44,0
4,"Yes","Known","Suburban",6,27.84,27,0.25,0,0,0,0,0,17,1,1,520,28,24,0
7,"Yes","Known","Suburban",43,10.29,10,0,1,0.1,0.7,1.3,0,9,4,4,264,52,52,0
9,"No","Known","Other",400,60.9,90,3.96,0,0,4.3,8.3,0,13,2,2,281,44,44,0
0,"No","Unknown","Suburban",989,218.44,31,0,532,1.1,6.3,43.3,2,16,1,1,16,42,44,0
7,"No","Known","Suburban",613,86.81,80,2.72,35,0,3,33,6.7,7,2,2,203,48,42,0
8,"No","Unknown","Other",602,81.82,40,0.25,102,4.8,8,14,0.7,24,1,1,97,42,44,0
6,"No","Known","Suburban",1196,51.5,52,0,26,0,3.7,38.7,5.3,12,1,1,344,24,44,0
0,"No","Unknown","Suburban",732,65.44,50,4.7,44,0,15.7,58,3,17,1,1,315,42,44,0
9,"Yes","Known","Suburban",238,38.03,30,0.99,10,5,11.3,30.3,1,26,1,1,142,50,46,0
7,"No","Known","Other",199,33.25,30,0,0,0,1.7,3.3,0,23,1,1,683,24,44,0
3,"Yes","Known","Suburban",86,9.99,10,0,0,0,0.3,3,0,21,2,2,630,50,44,0
0,"No","Unknown","Town",368,51.52,42,0.5,48,1.5,0,0,0,12,1,1,356,22,44,0
0,"No","Unknown","Other",554,40.73,36,1.49,0,0,14,26,0,16,1,1,89,42,44,0
0,"No","Unknown","Other",134,50,50,0,0,0,0.3,1.3,0.7,36,1,1,750,42,44,0
6,"No","Unknown","Other",893,61.37,55,0.99,28,0,21,25.3,0,19,1,1,188,42,44,0
0,"No","Unknown","Other",151,39.66,30,0,17,1.8,4.3,19,0.3,20,2,2,620,42,44,0
0,"No","Unknown","Suburban",887,39.54,45,0,12,0,3.7,42,10.3,24,1,1,51,42,44,0
1,"No","Known","Other",514,44.71,40,3.22,4,0,4.3,34.3,2.7,8,2,2,203,32,44,0
4,"No","Known","Other",406,35.7,45,0,0,0.4,4.3,20.3,0,23,1,1,204,48,44,0
8,"No","Known","Suburban",366,47.59,30,0,48,0.7,1.7,10,0,27,2,1,310,38,36,0
6,"Yes","Known","Other",90,38.99,45,0,0,0,0,0,0,12,1,1,345,44,44,0
4,"No","Known","Other",1236,121.44,75,2.72,174,0.1,12.7,135,2,20,1,1,613,58,60,0
7,"No","Known","Suburban",58,18.91,20,0,0,0,0,0,0,13,1,1,369,56,48,0
6,"No","Known","Suburban",19,4.55,0,0,10,0,0.7,2.3,0,59,1,1,885,42,44,0
7,"Yes","Known","Town",142,30.89,38,0,2,0,1,3.7,0,20,1,1,616,50,46,0
2,"No","Known","Rural",826,85.56,75,0,0,0,12.3,101.3,0,49,1,1,85,38,44,0
6,"Yes","Known","Other",1188,106.99,105,0,0,0,5.3,74,3.3,16,5,3,125,52,22,0
0,"No","Unknown","Town",365,10.49,10,0.5,0,0,2,13.7,16.3,7,3,2,185,42,44,0
6,"No","Known","Other",630,131.61,88,0.99,0,5.2,6,9.7,0,14,1,1,202,46,44,0
7,"No","Known","Other",262,36.56,45,0,4,0,6,5.3,1,14,3,3,435,54,54,0
7,"Yes","Known","Other",223,36.08,45,0.74,1,0,3,10.7,0,14,1,1,424,50,42,0
0,"No","Unknown","Other",422,54.19,60,2.97,1,0.3,4,11,0,11,1,1,329,42,44,0
8,"No","Known","Suburban",1731,152.58,55,0.5,285,0,38.3,32,12.7,10,1,1,310,50,50,0
1,"No","Unknown","Other",2852,86.93,95,0,77,0,40,204,30,15,3,3,106,32,32,0
6,"Yes","Known","Suburban",1109,63.69,60,0,14,0.7,8,25,2,18,2,2,293,54,54,0
