"IncomeGroup","ChildrenInHH","Homeownership","PrizmCode","MonthlyMinutes","MonthlyRevenue","TotalRecurringCharge","DirectorAssistedCalls","OverageMinutes","RoamingCalls","DroppedCalls","UnansweredCalls","CustomerCareCalls","MonthsInService","UniqueSubs","ActiveSubs","CurrentEquipmentDays","AgeHH1","AgeHH2","Churn"
4,"No","Known","Suburban",219,24,22,0.25,0,0,0.7,6.3,0,61,2,1,361,62,44,1
5,"Yes","Known","Suburban",10,16.99,17,0,0,0,0.3,2.7,0,58,1,1,1504,40,42,1
6,"Yes","Unknown","Town",8,38,38,0,0,0,0,0,0,60,1,1,1812,26,26,0
6,"No","Known","Other",1312,82.28,75,1.24,0,0,52,76,4.3,59,2,2,458,30,44,0
1,"No","Known","Other",682,38.05,52,0.25,0,0,9,13,0.7,53,1,1,231,28,44,0
9,"No","Known","Other",26,31.66,30,0.25,0,0,0,2.3,0,57,2,2,601,52,58,0
6,"Yes","Known","Other",98,62.13,66,2.48,0,0,0,4,4,59,2,2,464,46,46,0
9,"Yes","Known","Other",24,35.3,35,0,0,0,0,1,0,53,3,3,544,36,34,0
5,"No","Known","Other",1056,81,75,0,0,0,0,0,0,55,1,1,388,46,68,0
7,"No","Unknown","Other",2,25.23,25,0,0,0,0,0.3,0,53,2,2,354,42,44,0
3,"Yes","Known","Suburban",1972,212.51,85,2.23,250,35.5,9,43.7,0.3,59,5,1,199,30,22,0
1,"Yes","Known","Suburban",270,42.56,37,0.25,6,0,3.3,7.7,1,55,2,2,697,58,58,0
3,"No","Known","Town",440,63.02,60,0,6,1.3,5,17.3,3.7,57,1,1,530,99,44,0
1,"Yes","Known","Other",162,50.97,70,0,2,0,1.7,9,0.3,56,1,1,253,30,30,0
6,"No","Known","Other",1978,172.44,100,0,362,0,7.3,114.3,0.3,58,2,1,143,48,32,1
9,"No","Known","Other",47,29.99,30,0,0,0,0.3,2.3,0,54,3,3,573,52,50,0
0,"No","Unknown","Other",34,30.26,30,0,0,0,0,0.7,0,52,1,1,319,42,44,0
9,"No","Known","Other",42,24.49,17,0,10,0,0,0,0,58,2,1,776,36,44,1
3,"No","Known","Rural",94,30,30,0,0,0,2,5.3,0,54,1,1,1395,42,40,0
