"MonthlyMinutes","MonthlyRevenue","TotalRecurringCharge","DirectorAssistedCalls","OverageMinutes","RoamingCalls","DroppedCalls","UnansweredCalls","CustomerCareCalls","MonthsInService","UniqueSubs","ActiveSubs","CurrentEquipmentDays","AgeHH1","AgeHH2","Churn","IncomeGroup_1","IncomeGroup_2","IncomeGroup_3","IncomeGroup_4","IncomeGroup_5","IncomeGroup_6","IncomeGroup_7","IncomeGroup_8","IncomeGroup_9","ChildrenInHH_Yes","Homeownership_Unknown","PrizmCode_Rural","PrizmCode_Suburban","PrizmCode_Town"
1039,79.33,60,0.99,94,0,15.3,100,1,12,1,1,355,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
182,50,50,0,0,0,1,17.7,0,22,1,1,642,40,40,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
652,52.91,60,2.48,0,0,10.7,32.3,0.3,21,1,1,487,46,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105,30.03,40,0,0,0,0,0.7,0,12,1,1,346,24,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
670,57.59,50,3.46,54,0,11,74,0.3,7,1,1,2,28,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1690,201.99,10,0,480,0,15,85,2.3,13,2,2,372,42,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
294,78.75,70,0.25,32,4.8,0,0,0,12,2,2,355,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
536,56.09,22,1.98,87,1.1,12,54.7,2.7,19,1,1,111,42,44,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
295,50.35,40,0.5,57,0,2.7,18,0,18,3,2,541,26,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
336,39.28,35,0,8,0,6.3,16,0,31,1,1,530,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
464,61.59,45,0,56,0,10.7,0,0,10,1,1,274,40,44,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
583,105.58,45,0,151,16.8,1.3,11,0,8,3,2,255,64,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64,30.27,30,0,0,0,0.7,3,1,19,1,1,308,44,76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,91.48,50,0,0,0,1,13.3,0,9,1,1,58,40,40,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
529,37.23,45,0,6,0,6,6.7,5,19,1,1,383,42,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
309,50.44,60,0,0,0,6,104.3,0.7,12,2,1,160,38,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,96.45,50,1.24,238,0,8.7,52.3,0,53,1,1,1583,62,58,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
